timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms
2025-11-01T21:58:18.939868,camera_1_video1,0,26,0,1,3,30,0.6704539060592651,456.24518394470215
2025-11-01T21:58:19.022833,camera_2_video2,0,0,0,0,0,0,0.0,218.0790901184082
2025-11-01T21:58:19.103767,camera_1_video1,1,25,0,1,2,28,0.689533531665802,118.92175674438477
2025-11-01T21:58:19.168551,camera_2_video2,1,0,0,0,0,0,0.0,101.12476348876953
2025-11-01T21:58:19.257311,camera_1_video1,2,26,0,3,2,31,0.6634622812271118,106.92286491394043
2025-11-01T21:58:19.329500,camera_2_video2,2,0,0,0,0,0,0.0,116.83535575866699
2025-11-01T21:58:19.423160,camera_1_video1,3,28,0,2,3,33,0.630630612373352,116.36590957641602
2025-11-01T21:58:19.491897,camera_2_video2,3,0,0,0,0,0,0.0,119.25959587097168
2025-11-01T21:58:19.568144,camera_1_video1,4,34,0,1,3,38,0.6196557879447937,102.57244110107422
2025-11-01T21:58:19.644015,camera_2_video2,4,0,0,0,0,0,0.0,110.14676094055176
2025-11-01T21:58:19.743230,camera_1_video1,5,27,0,1,2,30,0.6583166122436523,130.8135986328125
2025-11-01T21:58:19.821929,camera_2_video2,5,0,0,0,0,0,0.0,133.2387924194336
2025-11-01T21:58:19.912821,camera_1_video1,6,26,0,1,5,32,0.6309648752212524,121.18387222290039
2025-11-01T21:58:20.001364,camera_2_video2,6,1,0,0,0,1,0.48724856972694397,130.77950477600098
2025-11-01T21:58:20.111918,camera_1_video1,7,25,0,3,2,30,0.6648351550102234,142.64345169067383
2025-11-01T21:58:20.203745,camera_2_video2,7,1,0,0,0,1,0.601392388343811,147.96972274780273
2025-11-01T21:58:20.310101,camera_1_video1,8,27,0,2,6,35,0.5943301916122437,150.48813819885254
2025-11-01T21:58:20.406548,camera_2_video2,8,1,0,0,0,1,0.6522853374481201,154.59251403808594
2025-11-01T21:58:20.532109,camera_1_video1,9,29,0,1,2,32,0.649172306060791,167.69862174987793
2025-11-01T21:58:20.630196,camera_2_video2,9,1,0,0,0,1,0.5059232115745544,170.40729522705078
2025-11-01T21:58:20.744068,camera_1_video1,10,27,0,2,2,31,0.656035840511322,161.53955459594727
2025-11-01T21:58:20.827986,camera_2_video2,10,0,0,0,0,0,0.0,147.62282371520996
2025-11-01T21:58:20.912753,camera_1_video1,11,29,0,2,2,33,0.6722239255905151,120.99814414978027
2025-11-01T21:58:21.003759,camera_2_video2,11,0,0,0,0,0,0.0,129.3351650238037
2025-11-01T21:58:21.082083,camera_1_video1,12,26,0,1,3,30,0.6764843463897705,120.80574035644531
2025-11-01T21:58:21.152534,camera_2_video2,12,0,0,0,0,0,0.0,100.62003135681152
2025-11-01T21:58:21.255518,camera_1_video1,13,30,0,2,3,35,0.6614091992378235,127.65789031982422
2025-11-01T21:58:21.349659,camera_2_video2,13,0,0,0,0,0,0.0,150.59661865234375
2025-11-01T21:58:21.430389,camera_1_video1,14,26,0,2,1,29,0.6847964525222778,127.52318382263184
2025-11-01T21:58:21.519563,camera_2_video2,14,0,0,0,0,0,0.0,125.46181678771973
2025-11-01T21:58:21.608435,camera_1_video1,15,25,0,2,2,29,0.7062395215034485,133.31079483032227
2025-11-01T21:58:21.699460,camera_2_video2,15,0,0,0,0,0,0.0,135.49518585205078
2025-11-01T21:58:21.810155,camera_1_video1,16,26,0,2,1,29,0.7120231986045837,159.09266471862793
2025-11-01T21:58:21.898770,camera_2_video2,16,0,0,0,0,0,0.0,154.91485595703125
2025-11-01T21:58:21.995311,camera_1_video1,17,25,1,2,1,29,0.6700008511543274,141.00885391235352
2025-11-01T21:58:22.076221,camera_2_video2,17,0,0,0,0,0,0.0,133.39805603027344
2025-11-01T21:58:22.154833,camera_1_video1,18,32,0,2,2,36,0.6167625784873962,114.91680145263672
2025-11-01T21:58:22.215326,camera_2_video2,18,0,0,0,0,0,0.0,94.268798828125
2025-11-01T21:58:22.286523,camera_1_video1,19,28,0,4,2,34,0.6246256232261658,85.2353572845459
2025-11-01T21:58:22.348677,camera_2_video2,19,0,0,0,0,0,0.0,86.41719818115234
2025-11-01T21:58:22.410718,camera_1_video1,20,26,0,1,1,28,0.6758111119270325,80.24287223815918
2025-11-01T21:58:22.477157,camera_2_video2,20,0,0,0,0,0,0.0,82.58724212646484
2025-11-01T21:58:22.555926,camera_1_video1,21,27,0,2,1,30,0.6487232446670532,101.17554664611816
2025-11-01T21:58:22.644811,camera_2_video2,21,0,0,0,0,0,0.0,123.25072288513184
2025-11-01T21:58:22.723801,camera_1_video1,22,26,0,1,2,29,0.6330643892288208,119.8587417602539
2025-11-01T21:58:22.798336,camera_2_video2,22,0,0,0,0,0,0.0,110.74519157409668
2025-11-01T21:58:22.881444,camera_1_video1,23,27,0,2,5,34,0.6327273845672607,113.44671249389648
2025-11-01T21:58:22.946214,camera_2_video2,23,0,0,0,0,0,0.0,103.15728187561035
2025-11-01T21:58:23.019026,camera_1_video1,24,30,0,1,2,33,0.6003912091255188,88.0284309387207
2025-11-01T21:58:23.097814,camera_2_video2,24,0,0,0,0,0,0.0,105.05032539367676
