timestamp,source_id,frame_number,car_count,motorcycle_count,truck_count,bus_count,total_count,confidence_score,processing_time_ms,traffic_signal_status,traffic_density_status,green_time_seconds
2025-11-02T19:41:45.790534,cam_1_video1,219,34,0,0,0,34,0.6127265691757202,171.19145393371582,RED,HIGH,0
2025-11-02T19:41:45.874536,cam_2_video2,219,1,0,0,0,1,0.48252734541893005,146.18182182312012,GREEN,LOW,30
2025-11-02T19:41:45.985622,cam_1_video1,220,32,0,0,0,32,0.6652557849884033,134.0773105621338,RED,HIGH,0
2025-11-02T19:41:46.072668,cam_2_video2,220,1,0,0,0,1,0.4440021514892578,141.06440544128418,GREEN,LOW,30
2025-11-02T19:41:46.181321,cam_1_video1,221,30,0,0,0,30,0.6536442041397095,139.65535163879395,RED,HIGH,0
2025-11-02T19:41:46.278494,cam_2_video2,221,1,0,0,0,1,0.4724714457988739,141.7388916015625,GREEN,LOW,30
2025-11-02T19:41:46.392511,cam_1_video1,222,35,0,0,0,35,0.6288182139396667,144.12331581115723,RED,HIGH,0
2025-11-02T19:41:46.471037,cam_2_video2,222,1,0,0,0,1,0.3897020220756531,127.99525260925293,GREEN,LOW,30
2025-11-02T19:41:46.591308,cam_1_video1,223,33,0,0,0,33,0.649978518486023,137.2678279876709,RED,HIGH,0
2025-11-02T19:41:46.678883,cam_2_video2,223,1,0,0,0,1,0.3031613826751709,145.7653045654297,GREEN,LOW,30
2025-11-02T19:41:46.791353,cam_1_video1,224,32,0,0,0,32,0.6299355626106262,133.88776779174805,RED,HIGH,0
2025-11-02T19:41:46.893658,cam_2_video2,224,1,0,0,0,1,0.2516144812107086,157.8214168548584,GREEN,LOW,30
2025-11-02T19:41:47.035772,cam_1_video1,225,34,0,0,0,34,0.6316674947738647,188.84992599487305,RED,HIGH,0
2025-11-02T19:41:47.186254,cam_2_video2,225,1,0,0,0,1,0.6552372574806213,228.0566692352295,GREEN,LOW,30
2025-11-02T19:41:47.357185,cam_1_video1,226,37,0,0,0,37,0.632319450378418,271.02088928222656,RED,HIGH,0
2025-11-02T19:41:47.489957,cam_2_video2,226,1,0,0,0,1,0.43834608793258667,249.92060661315918,GREEN,LOW,30
2025-11-02T19:41:47.643763,cam_1_video1,227,36,0,0,0,36,0.6328338980674744,233.7026596069336,RED,HIGH,0
2025-11-02T19:41:47.732820,cam_2_video2,227,1,0,0,0,1,0.43245330452919006,182.1615695953369,GREEN,LOW,30
2025-11-02T19:41:47.820461,cam_1_video1,228,34,0,0,0,34,0.6730539202690125,123.20256233215332,RED,HIGH,0
2025-11-02T19:41:47.893385,cam_2_video2,228,2,0,0,0,2,0.6350127458572388,95.51119804382324,GREEN,LOW,30
2025-11-02T19:41:47.987894,cam_1_video1,229,34,0,0,0,34,0.6741784811019897,111.21726036071777,RED,HIGH,0
2025-11-02T19:41:48.057129,cam_2_video2,229,2,0,0,0,2,0.4907504618167877,105.14426231384277,GREEN,LOW,30
2025-11-02T19:41:48.135103,cam_1_video1,230,37,0,0,0,37,0.6736937761306763,90.9731388092041,RED,HIGH,0
2025-11-02T19:41:48.212051,cam_2_video2,230,2,0,0,0,2,0.5775874853134155,91.12095832824707,GREEN,LOW,30
2025-11-02T19:41:48.328310,cam_1_video1,231,43,0,0,0,43,0.6316272616386414,129.4081211090088,RED,HIGH,0
2025-11-02T19:41:48.390000,cam_2_video2,231,2,0,0,0,2,0.3497524857521057,93.9798355102539,GREEN,LOW,30
2025-11-02T19:41:48.485817,cam_1_video1,232,41,0,0,0,41,0.6545030474662781,99.81584548950195,RED,HIGH,0
2025-11-02T19:41:48.560983,cam_2_video2,232,1,0,0,0,1,0.45980679988861084,116.51897430419922,GREEN,LOW,30
2025-11-02T19:41:48.642448,cam_1_video1,233,38,0,0,0,38,0.6713215708732605,104.02631759643555,RED,HIGH,0
